id,recording,name,locale,edits_pending,last_updated,type,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,primary_for_locale,ended
27,16378775,"German Dances, D 783 Op. 33 No. 11",\N,0,2015-05-18 21:07:37.954112+00,\N,"German Dances, D 783 Op. 33 No. 11",\N,\N,\N,\N,\N,\N,f,f
28,16378776,"German Dances, D 783 Op. 33 No. 12",\N,0,2015-05-18 21:07:40.043414+00,\N,"German Dances, D 783 Op. 33 No. 12",\N,\N,\N,\N,\N,\N,f,f
29,16378777,"German Dances, D 783 Op. 33 No. 15",\N,0,2015-05-18 21:07:42.007577+00,\N,"German Dances, D 783 Op. 33 No. 15",\N,\N,\N,\N,\N,\N,f,f
30,16378778,"German Dances, D 783 Op. 33 No. 16",\N,0,2015-05-18 21:07:44.074506+00,\N,"German Dances, D 783 Op. 33 No. 16",\N,\N,\N,\N,\N,\N,f,f
31,16378779,"German Dances, D 783 Op. 33 No. 6",\N,0,2015-05-18 21:07:46.134382+00,\N,"German Dances, D 783 Op. 33 No. 6",\N,\N,\N,\N,\N,\N,f,f
32,5319071,"Concerto for Piano and Orchestra, op. 42, I. Andante",\N,0,2015-05-18 21:07:48.068139+00,\N,"Concerto for Piano and Orchestra, op. 42, I. Andante",\N,\N,\N,\N,\N,\N,f,f
33,5319072,"Concerto for Piano and Orchestra, op. 42, II. Molto Allegro",\N,0,2015-05-18 21:07:48.62092+00,\N,"Concerto for Piano and Orchestra, op. 42, II. Molto Allegro",\N,\N,\N,\N,\N,\N,f,f
34,5319073,"Concerto for Piano and Orchestra, op. 42, III. Adagio",\N,0,2015-05-18 21:07:49.089124+00,\N,"Concerto for Piano and Orchestra, op. 42, III. Adagio",\N,\N,\N,\N,\N,\N,f,f
35,5319074,"Concerto for Piano and Orchestra, op. 42, IV. Giocoso (moderato)",\N,0,2015-05-18 21:07:49.599306+00,\N,"Concerto for Piano and Orchestra, op. 42, IV. Giocoso (moderato)",\N,\N,\N,\N,\N,\N,f,f
36,2723554,I Love to Love (But My Baby Just Loves to Dance),\N,0,2015-05-18 21:08:25.637781+00,\N,I Love to Love (But My Baby Just Loves to Dance),\N,\N,\N,\N,\N,\N,f,f
37,10289168,"You Set My Heart on Fire, Part 2",\N,0,2015-05-18 21:08:29.353273+00,\N,"You Set My Heart on Fire, Part 2",\N,\N,\N,\N,\N,\N,f,f
38,4283336,Parsifal: Erster Aufzug. Vorspiel,\N,0,2015-05-18 21:16:23.90647+00,\N,Parsifal: Erster Aufzug. Vorspiel,\N,\N,\N,\N,\N,\N,f,f
39,4283337,"Parsifal: Erster Aufzug. ""He! Ho! Waldhüter ihr!"" (Gurnemanz, Erster und Zweiter Ritter, Erster und Zweiter Knappe, Kundry)",\N,0,2015-05-18 21:16:26.65773+00,\N,"Parsifal: Erster Aufzug. ""He! Ho! Waldhüter ihr!"" (Gurnemanz, Erster und Zweiter Ritter, Erster und Zweiter Knappe, Kundry)",\N,\N,\N,\N,\N,\N,f,f
40,4283338,"Parsifal: Erster Aufzug. ""Recht so! - Habt Dank! - Ein wenig Rast"" (Amfortas, Zweiter Ritter, Gurnemanz)",\N,0,2015-05-18 21:16:29.644907+00,\N,"Parsifal: Erster Aufzug. ""Recht so! - Habt Dank! - Ein wenig Rast"" (Amfortas, Zweiter Ritter, Gurnemanz)",\N,\N,\N,\N,\N,\N,f,f
41,4283339,"Parsifal: Erster Aufzug. ""Nicht Dank! - Haha! Was wird es helfen?"" (Kundry, Dritter und Vierter Knappe, Gurnemanz)",\N,0,2015-05-18 21:16:32.223577+00,\N,"Parsifal: Erster Aufzug. ""Nicht Dank! - Haha! Was wird es helfen?"" (Kundry, Dritter und Vierter Knappe, Gurnemanz)",\N,\N,\N,\N,\N,\N,f,f
42,4283340,"Parsifal: Erster Aufzug. ""O wunden-wundervoller heiliger Speer!"" (Gurnemanz, Erster, Zweiter und Dritter Knappe)",\N,0,2015-05-18 21:16:34.781686+00,\N,"Parsifal: Erster Aufzug. ""O wunden-wundervoller heiliger Speer!"" (Gurnemanz, Erster, Zweiter und Dritter Knappe)",\N,\N,\N,\N,\N,\N,f,f
43,4283341,"Parsifal: Erster Aufzug. ""Titurel, der fromme Held, der kannt' ihn wohl"" (Gurnemanz, Knappen)",\N,0,2015-05-18 21:16:37.419987+00,\N,"Parsifal: Erster Aufzug. ""Titurel, der fromme Held, der kannt' ihn wohl"" (Gurnemanz, Knappen)",\N,\N,\N,\N,\N,\N,f,f
44,4283342,"Parsifal: Erster Aufzug. ""Weh! Weh!... Wer ist der Frevler?"" (Knappen, Ritter, Gurnemanz, Parsifal)",\N,0,2015-05-18 21:16:40.10572+00,\N,"Parsifal: Erster Aufzug. ""Weh! Weh!... Wer ist der Frevler?"" (Knappen, Ritter, Gurnemanz, Parsifal)",\N,\N,\N,\N,\N,\N,f,f
45,4283343,"Parsifal: Erster Aufzug. ""Nun sag! Nichts weißt du, was ich dich frage!"" (Gurnemanz, Parsifal, Kundry)",\N,0,2015-05-18 21:16:42.921554+00,\N,"Parsifal: Erster Aufzug. ""Nun sag! Nichts weißt du, was ich dich frage!"" (Gurnemanz, Parsifal, Kundry)",\N,\N,\N,\N,\N,\N,f,f
