id,gid,name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,time,type,cancelled,setlist,comment,edits_pending,last_updated,ended
3746,2c8e7c14-c3d9-4f6d-9715-1b6fc8d3cb5d,“Weird Al” Yankovic at Planet Hollywood,2015,5,13,2015,5,13,\N,1,f,,,0,2015-05-11 23:52:39.155355+00,t
25,b971d65c-8a56-485f-971f-e2d22bf2b88b,Jazzchor der Universität Bonn at Trinitatiskirche,2014,7,23,2014,7,23,\N,1,f,,,0,2014-11-17 22:17:02.781347+00,t
40,6c56e174-2ca2-4aa9-aede-ea237eec4d91,Bone Six at Universität/Markt,2014,5,23,2014,5,23,\N,1,f,,,0,2014-11-17 22:21:55.508545+00,t
44,9023ffdf-0e06-4d95-a093-940e0fe76405,Waduh at Bonn Hbf/Thomas-Mann-Straße,2014,6,27,2014,6,27,\N,1,f,,,0,2014-11-17 22:23:00.529211+00,t
1735,c512d806-60e0-4e5a-9d05-7da986be6684,TOUR Many SEX Years vol.5// CORKSCREW A GO GO! @ 熊谷VOGUE,1998,9,27,1998,9,27,\N,1,f,,,0,2014-12-14 21:40:38.757196+00,t
48,d0fb4357-74e0-4c40-a9a6-0f8587dd96ec,Yassmo' at Bonn Hbf/Thomas-Mann-Straße,2014,8,29,2014,8,29,\N,1,f,,,0,2014-11-17 22:23:55.135319+00,t
1596,db287cda-f9d3-4ad2-b521-d17d6ddaaa06,「Kaléidoscope—天使の狂宴—」@ 広島クラブクアトロ,2007,8,5,2007,8,5,\N,1,f,,,0,2014-12-10 21:53:49.043147+00,t
49,1ce1438b-41c5-4413-8dee-f4d28936f761,When People Had Computers at KUNST!GARTEN,2014,7,30,2014,7,30,\N,1,f,,,0,2014-11-17 22:24:20.414024+00,t
53,061ed65f-0f52-4ef9-86f3-59afba49b93c,Compás a Tres at Museumsmeile/Heussallee,2014,8,29,2014,8,29,\N,1,f,,,0,2014-11-17 22:25:28.541778+00,t
4057,b4b37130-25d3-4584-b3d3-3c5c06777189,22. Wave-Gotik-Treffen,2013,\N,\N,2013,\N,\N,\N,2,f,,,0,2015-05-18 22:24:15.575444+00,t
58,f0d4c2ad-562b-4a19-afb4-b4e21763fd55,Nightingale at Glen Echo Park,\N,\N,\N,\N,\N,\N,\N,1,f,,,0,2014-11-17 22:26:54.739084+00,f
186,509a8050-41ed-49d5-abd9-9486bd919ed5,とら祭り2010,2010,6,19,2010,6,19,\N,4,f,,,0,2014-11-17 23:37:43.556205+00,t
90,4db2ed63-0336-4465-9ab1-b3afee5cae6c,Firetruck at Concord Scout House,2010,7,15,2010,7,15,\N,1,f,,,0,2015-10-28 18:01:40.472269+00,t
83,5a69b7fa-343c-4dbd-a3d7-14023137ead0,Magic Foot at Concord Scout House,2008,4,17,2008,4,17,\N,1,f,,,0,2015-10-29 21:10:33.301746+00,t
